Latitude,Longitude
  22.87617,  120.69100
  23.91583,  120.74300
  24.46800,  121.88350
  24.27583,  121.80766
  23.21350,  120.25050
  23.21833,  120.24533
  22.44517,  120.91300
  24.33483,  121.77783
  22.46450,  120.96416
  22.45833,  120.90733
  24.82833,  121.89867
  23.37400,  120.56783
  23.69367,  121.55583
  24.12783,  121.38483
  22.79283,  120.74800
  22.57783,  121.35733
  22.19733,  121.91783
  22.45150,  121.24516
  24.38350,  121.76466
  23.59517,  120.83317
  22.78783,  121.07350
  24.24033,  121.74934
  24.37700,  121.72667
  24.45867,  121.76750
  21.56317,  121.68400
  23.50733,  121.49650
  23.50233,  121.51300
  24.00717,  121.57567
  23.46433,  120.62083
  21.14333,  121.83366
  24.82167,  121.78550
  22.86950,  120.98450
  24.19000,  120.85966
  24.20317,  120.85900
  23.60283,  120.83817
  23.59433,  120.83350
  24.52650,  121.74483
  24.57617,  121.62083
  23.59433,  120.82700
  24.43967,  121.90733
  22.82833,  120.88033
  23.41167,  120.51334
  23.57750,  120.86433
  23.58350,  120.86166
  23.41483,  120.50767
  23.40717,  120.51183
  22.82550,  120.80483
  25.30500,  122.31483
  24.39083,  122.10150
  24.54250,  121.80033
  24.23483,  121.74934
  24.28417,  121.66450
  23.59600,  120.82550
  24.23600,  121.76383
  22.79183,  120.78600
  22.67850,  121.36567
  24.48283,  121.86166
  22.88567,  120.96083
  22.84583,  121.52300
  22.29550,  120.72633
  23.50300,  121.63450
  24.93550,  122.20300
  24.20350,  120.86567
  22.87717,  121.57600
  24.43617,  121.90234
  23.23200,  120.34917
  23.72100,  121.35550
  21.05567,  121.78217
  24.17900,  121.57600
  24.25350,  121.75166
  23.24050,  120.35416
  23.64833,  121.68150
  23.90667,  121.58217
  23.33633,  120.49000
  23.85150,  121.44750
  23.21567,  121.71817
  23.89317,  122.53883
  24.40217,  121.88467
  24.42950,  121.88433
  24.42067,  121.88550
  23.84483,  120.81316
  24.40183,  121.89750
  24.43517,  121.88316
  24.13433,  121.21800
  24.42550,  121.89267
  24.39983,  121.89800
  23.97250,  122.42267
  23.51717,  120.63033
  24.32583,  122.10633
  23.14083,  121.48400
  21.92933,  122.41250
  23.73883,  121.75733
  23.02633,  120.85717
  24.37467,  120.85333
  24.07467,  121.74333
  24.46233,  121.89800
  24.64267,  121.82516
  22.35750,  121.04400
  24.44200,  121.75183
  23.05167,  120.87517
  24.36433,  121.70883
  23.59600,  121.28083
  24.78883,  122.32750
  24.36400,  121.72933
  24.76067,  121.68483
  24.36033,  121.74433
  24.02267,  122.06934
  22.87533,  121.30634
  23.56933,  120.89183
  24.34450,  121.21017
  24.47650,  121.85333
  23.82400,  121.41866
  23.03833,  120.86816
  24.84367,  122.14250
  23.03800,  120.85550
  23.01817,  120.86300
  23.03767,  120.85400
  23.18783,  120.52433
  23.46833,  120.74017
  24.44050,  122.04383
  23.79967,  121.92433
  23.02633,  120.88250
  22.68683,  121.35966
  23.22183,  120.87300
  24.70250,  122.05334
  24.79517,  122.06050
  24.76617,  122.40067
  23.43050,  120.57350
  23.45650,  120.75700
  23.40000,  121.67167
  23.57850,  120.81450
  23.20600,  120.40283
  22.80017,  120.67300
  23.69000,  121.65450
  23.05933,  120.93100
  23.06167,  120.93200
  25.25767,  122.23466
  24.39033,  121.39467
  23.99467,  121.60934
  23.59050,  120.79533
  23.01717,  120.86550
  24.30800,  121.73200
  24.31783,  121.74150
  24.30183,  121.74017
  24.78517,  122.05183
  24.30033,  121.74934
  22.80967,  120.88633
  24.43933,  122.02950
  23.61150,  121.79750
  22.54900,  121.64050
  24.47000,  121.87033
  23.64650,  120.69033
  23.96133,  121.48766
  24.11317,  121.42717
  24.78733,  122.24817
  24.10217,  121.42917
  23.57950,  120.60750
  24.45900,  122.01483
  23.81850,  121.83334
  24.79617,  122.10167
  24.01317,  121.60650
  24.03000,  121.62717
  24.21550,  121.75100
  22.62450,  121.96267
  24.77417,  122.11933
  24.79450,  122.02133
  24.79067,  122.06550
  22.82433,  120.96616
  24.38917,  121.72017
  24.84700,  122.25850
  24.30950,  122.19817
  24.24567,  121.73450
  22.77917,  121.47017
  24.78883,  122.05217
  23.53800,  120.64533
  24.60250,  121.78133
  24.65200,  122.36483
  23.54600,  120.64917
  22.87733,  120.67150
  24.75333,  122.16217
  24.24817,  121.74416
  24.52150,  122.22433
  24.16233,  121.76517
  23.58517,  120.61967
  24.36850,  121.72667
  24.77300,  122.24500
  23.22283,  120.44833
  24.39683,  121.93833
  23.21367,  120.40450
  24.43567,  121.89516
  23.48750,  120.70634
  23.58333,  120.86667
  23.39333,  120.30417
  24.26550,  121.27050
  22.04117,  121.08733
  24.44367,  121.79383
  22.80367,  120.94050
  24.38933,  121.94666
  24.62100,  122.15366
  22.84167,  120.90733
  22.84400,  120.87984
  24.45550,  121.90733
  24.05717,  120.96550
  24.67883,  122.43983
  24.85200,  122.03733
  23.62633,  120.75600
  22.47283,  120.69400
  23.21933,  120.34967
  24.01283,  121.50000
  23.03000,  120.91683
  23.93900,  121.67683
  24.74467,  121.94133
  24.37667,  122.86884
  23.25550,  120.52150
  23.35417,  120.36066
  24.54067,  121.81866
  23.59667,  120.90400
  23.96750,  121.58817
  23.18783,  121.56000
  24.65417,  121.91717
  24.65800,  121.89600
  24.64317,  121.88883
  24.22733,  120.78333
  24.44633,  121.78934
  24.43217,  121.85250
  24.47683,  121.83000
  23.25250,  122.09084
  24.23167,  121.74783
  24.23583,  121.75833
  24.36883,  121.73400
  23.61250,  120.97200
  24.67900,  121.99600
  24.38467,  121.73067
  23.34983,  120.34000
  24.49333,  121.81983
  24.73417,  121.72833
  24.80433,  121.90717
  23.35533,  120.32150
  23.94700,  121.69350
  24.33050,  122.07117
  23.36800,  120.30634
  24.81667,  121.79933
  24.00733,  122.29583
  22.81800,  120.90967
  22.71483,  121.40234
  22.20933,  121.34417
  24.81983,  121.93933
  24.36350,  121.37366
  22.99533,  121.11150
  24.49150,  121.84583
  23.50167,  120.82516
  24.04717,  121.57083
  24.35083,  122.05383
  22.47217,  120.89733
  23.10833,  121.29833
  24.00700,  121.62700
  24.40117,  121.85450
  23.74483,  121.39500
  24.41517,  120.94733
  24.39900,  120.94366
  23.07383,  121.39667
  25.04700,  122.16783
  23.94917,  120.77617
  24.06933,  121.60083
  24.07417,  121.59683
  23.51367,  121.65183
