Latitude,Longitude
  22.87617,  120.69100
  23.91583,  120.74300
  23.21350,  120.25050
  23.21833,  120.24533
  22.44517,  120.91300
  22.45833,  120.90733
  23.37400,  120.56783
  24.12783,  121.38483
  22.79283,  120.74800
  24.38350,  121.76467
  23.59517,  120.83317
  22.78783,  121.07350
  24.37700,  121.72667
  24.45867,  121.76750
  24.00717,  121.57567
  23.46433,  120.62083
  24.82167,  121.78550
  22.86950,  120.98450
  24.19000,  120.85967
  24.20317,  120.85900
  23.60283,  120.83817
  23.59433,  120.83350
  24.52650,  121.74483
  24.57617,  121.62083
  23.59433,  120.82700
  22.82833,  120.88033
  23.41167,  120.51333
  23.57750,  120.86433
  23.58350,  120.86167
  23.41483,  120.50767
  23.40717,  120.51183
  22.82550,  120.80483
  24.54250,  121.80033
  24.28417,  121.66450
  23.59600,  120.82550
  22.79183,  120.78600
  22.88567,  120.96083
  22.29550,  120.72633
  24.20350,  120.86567
  23.23200,  120.34917
  23.72100,  121.35550
  24.17900,  121.57600
  23.24050,  120.35417
  23.90667,  121.58217
  23.33633,  120.49000
  23.85150,  121.44750
  23.84483,  120.81317
  24.13433,  121.21800
  23.51717,  120.63033
  23.02633,  120.85717
  24.37467,  120.85333
  24.64267,  121.82517
  24.44200,  121.75183
  23.05167,  120.87517
  24.36433,  121.70883
  23.59600,  121.28083
  24.36400,  121.72933
  24.76067,  121.68483
  24.36033,  121.74433
  23.56933,  120.89183
  24.34450,  121.21017
  23.82400,  121.41867
  23.03833,  120.86817
  23.03800,  120.85550
  23.01817,  120.86300
  23.03767,  120.85400
  23.18783,  120.52433
  23.46833,  120.74017
  23.02633,  120.88250
  23.22183,  120.87300
  23.43050,  120.57350
  23.45650,  120.75700
  23.57850,  120.81450
  23.20600,  120.40283
  22.80017,  120.67300
  23.05933,  120.93100
  23.06167,  120.93200
  24.39033,  121.39467
  23.99467,  121.60933
  23.59050,  120.79533
  23.01717,  120.86550
  24.30800,  121.73200
  24.31783,  121.74150
  24.30183,  121.74017
  24.30033,  121.74933
  22.80967,  120.88633
  23.64650,  120.69033
  23.96133,  121.48767
  24.11317,  121.42717
  24.10217,  121.42917
  23.57950,  120.60750
  24.01317,  121.60650
  22.82433,  120.96617
  24.38917,  121.72017
  23.53800,  120.64533
  24.60250,  121.78133
  23.54600,  120.64917
  22.87733,  120.67150
  23.58517,  120.61967
  24.36850,  121.72667
  23.22283,  120.44833
  23.21367,  120.40450
  23.48750,  120.70633
  23.58333,  120.86667
  23.39333,  120.30417
  24.26550,  121.27050
  24.44367,  121.79383
  22.80367,  120.94050
  22.84167,  120.90733
  22.84400,  120.87983
  24.05717,  120.96550
  23.62633,  120.75600
  22.47283,  120.69400
  23.21933,  120.34967
  24.01283,  121.50000
  23.03000,  120.91683
  23.25550,  120.52150
  23.35417,  120.36067
  24.54067,  121.81867
  23.59667,  120.90400
  23.96750,  121.58817
  24.22733,  120.78333
  24.44633,  121.78933
  24.47683,  121.83000
  24.36883,  121.73400
  23.61250,  120.97200
  24.38467,  121.73067
  23.34983,  120.34000
  24.49333,  121.81983
  24.73417,  121.72833
  23.35533,  120.32150
  23.36800,  120.30633
  24.81667,  121.79933
  22.81800,  120.90967
  24.36350,  121.37367
  22.99533,  121.11150
  23.50167,  120.82517
  24.04717,  121.57083
  22.47217,  120.89733
  23.10833,  121.29833
  24.00700,  121.62700
  23.74483,  121.39500
  24.41517,  120.94733
  24.39900,  120.94367
  23.94917,  120.77617
  24.06933,  121.60083
  24.07417,  121.59683
  23.28900,  120.87717
  23.90283,  121.42950
  23.28483,  120.87917
  23.05967,  120.93650
  23.19850,  120.51033
  24.37150,  121.64233
  24.35817,  121.32817
  24.36533,  121.72283
  24.33317,  120.78200
  23.37317,  120.88767
  24.02600,  121.60267
  22.63800,  120.64800
  22.64333,  120.68017
  23.21000,  120.53767
  24.37433,  121.47383
  24.31633,  121.72283
  24.61433,  121.74600
  24.01850,  121.59783
  22.82600,  120.94383
  22.84250,  120.93450
  23.54300,  120.68883
  22.80267,  120.78900
  23.27700,  120.53250
  24.42417,  121.38917
  23.02717,  120.65283
  23.21583,  120.44983
  22.40633,  120.90133
  24.49383,  121.67417
  23.99533,  121.58300
  24.12200,  121.42000
  24.62417,  121.79917
  24.20250,  121.56850
  24.01717,  121.59867
  23.28050,  120.89683
  24.10017,  121.43300
  22.99783,  120.53233
  23.54633,  120.93883
  24.35717,  121.73983
  23.04983,  120.91383
  24.36367,  121.31900
  24.68883,  121.79467
  24.50567,  121.81567
  23.20183,  121.34250
  24.48333,  121.76183
  24.48950,  121.76333
  23.15850,  120.51533
  22.25217,  120.87133
  24.38567,  121.64500
  24.55750,  121.68050
  23.73617,  121.42583
  22.97600,  121.13983
  24.35233,  121.71800
  23.02283,  120.83700
  23.41483,  121.40000
  22.54533,  120.65850
  22.87283,  120.94117
  23.11400,  120.69967
  23.03000,  120.83033
  23.02383,  121.01567
  24.39767,  121.75767
  25.16200,  121.55933
  24.31500,  121.71217
  25.16333,  121.55833
  24.24850,  121.62100
  22.53867,  120.66617
  23.55133,  120.69450
  22.83167,  120.88500
  24.42633,  121.76800
  23.85633,  121.55500
  23.55133,  120.64833
  24.01350,  120.97567
  24.16267,  120.99450
  23.36117,  121.33217
  22.85167,  120.77467
  23.36617,  121.34500
  24.48283,  121.81383
  24.48300,  121.82883
  24.48767,  121.81267
  24.48883,  121.81667
  24.49783,  121.79833
  24.48800,  121.81317
  23.51550,  120.67717
  23.84317,  121.09017
  24.31800,  120.75633
  23.14583,  121.34133
  22.73750,  120.98517
  24.49567,  121.68467
  22.85883,  120.94817
  24.62933,  121.82083
  24.63917,  121.83800
  24.63067,  121.82217
  24.40717,  121.77250
  22.87650,  120.99200
  24.68717,  121.31417
  24.39167,  121.69417
  23.59117,  121.25917
  22.60500,  120.98450
  24.54683,  121.71000
  24.48967,  121.47950
  24.47617,  121.50717
  24.53550,  121.81283
  24.30400,  121.73517
  23.76850,  121.40167
  23.76033,  121.38767
  24.59967,  121.83467
  24.34517,  121.20483
  24.22517,  120.79983
  23.23500,  120.73183
  24.47667,  121.74167
  24.32467,  121.23200
  24.25233,  121.20183
  24.34350,  121.20500
  24.34467,  121.22117
  24.14550,  121.54583
  24.34267,  121.20433
  24.35767,  121.71250
  24.34083,  121.18700
  24.29200,  121.25467
  24.46133,  121.79417
